Azienda,Città,Dipendenti
Ferrari,Maranello,4500
Fiat,Torino,50000
Lamborghini,Sant’Agata Bolognese,2000
Pirelli,Milano,30000
Luxottica,Agordo,80000
Barilla,Parma,8700
Lavazza,Torino,4500
Parmalat,Collecchio,27000
Eni,Roma,32000
Enel,Roma,65000
TIM,Roma,37000
Generali,Trieste,75000
Ferrero,Alba,41000
Campari,Sesto San Giovanni,4000
Ducati,Bologna,1800
Benetton,Ponzano Veneto,6000
Alitalia,Fiumicino,4000
Illy,Trieste,1300
Versace,Milano,1600
Prada,Milano,13000
Gucci,Firenze,17000
Armani,Milano,7000
Bulgari,Roma,4000
Brembo,Curno,12000
De’Longhi,Treviso,10000
